Feature,XGBoost,DecisionTree,RandomForest,Lasso,Chi2,FEATURE_CODE
"DX_T-2 99662: Infection and inflammatory reaction due to other vascular device, implant, and graft",0.0014391245,0.0008868471601177,0.0047302046121473,0.0020796330568387,22.167422830964867,DX_99662
DX_T-2 E9320: Adrenal cortical steroids causing adverse effects in therapeutic use,0.0009930165,0.0129980127353151,0.0034576420255456,0.0029803311903085,14.006797904920353,DX_E9320
DX_T-3 3941: Rheumatic mitral insufficiency,0.0,0.0014634003961398,0.0,0.0,33.16616222760291,DX_3941
"DX_T-3 40391: Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",0.007581061,0.0795870081615579,0.0087887941457189,0.0043700237048225,51.8997327493895,DX_40391
DX_T-3 5793: Other and unspecified postsurgical nonabsorption,0.0,0.0,0.0031645830588223,0.0,42.69483007872196,DX_5793
DX_T-3 5856: End stage renal disease,1.0017567e-05,0.0,0.0053808175151613,0.0,31.29998571044806,DX_5856
DX_T-3 70714: Ulcer of heel and midfoot,0.0028405301,0.0118157369175057,0.0027385203938312,0.004164977780001,19.359724418926355,DX_70714
"DX_T-3 99662: Infection and inflammatory reaction due to other vascular device, implant, and graft",0.00030136053,0.0031233826237287,0.0044107314761739,0.0007072522579784,29.53045627399952,DX_99662
DX_T-3 99681: Complications of transplanted kidney,0.00040863839,0.0,0.0040606534455784,0.0006297091971615,38.89645294193954,DX_99681
DX_T-3 V4511: Renal dialysis status,0.00011444957,0.0,0.0043660420358909,0.0011509138971263,29.98624881784718,DX_V4511
"DX_T-4 39890: Rheumatic heart disease, unspecified",0.0,0.0,8.895985336414005e-05,0.0,33.16616222760291,DX_39890
"DX_T-4 40301: Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",0.0,0.0,0.0014406531054115,0.0,38.12676741652281,DX_40301
DX_T-4 5672,0.0,0.0,0.0014044697095077,0.0,36.37850570540476,DX_5672
"DX_T-4 58381: Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere",0.0,0.0051191949765588,0.0038831933557634,9.766987411348612e-05,38.854516620167445,DX_58381
DX_T-4 7100: Systemic lupus erythematosus,0.0,0.0037727261970528,0.0020833414945631,0.0002089455059292,34.41372809456912,DX_7100
DX_T-4 9351: Foreign body in esophagus,0.0,0.0,8.124630581156605e-05,0.0,33.16616222760291,DX_9351
"DX_T-4 99673: Other complications due to renal dialysis device, implant, and graft",0.0,0.0,0.0010363581130768,0.0,33.84154035375593,DX_99673
DX_T-4 99681: Complications of transplanted kidney,5.9706916e-05,0.0084495048434724,0.0061527873321782,0.0006196608100444,50.08741568510216,DX_99681
DX_T-5 4241: Aortic valve disorders,0.0,0.0043745078416878,0.0014682425998127,0.0,39.2217982066557,DX_4241
